Country,Class,KWh/m^2/day,Avg DHI,,KWh/m^2/day,Class,Capacity Factor
Kuwait,5,4.5-5,4.75,,,,
Kuwait,6,5-6.25,5.625,,,,
Kyrgyzstan,1,<=3,2,,,,
Kyrgyzstan,2,3-3.5,3.25,,,,
Kyrgyzstan,3,3.5-4,3.75,,,,
Kyrgyzstan,4,4-4.5,4.25,,,,
Kyrgyzstan,5,4.5-5,4.75,,,,
Kyrgyzstan,6,5-6.25,5.625,,,,
Kyrgyzstan,7,6.25-7.25,6.75,,,,
Laos,1,<=3,2,,,,
Laos,2,3-3.5,3.25,,,,
Laos,3,3.5-4,3.75,,,,
Laos,4,4-4.5,4.25,,,,
Laos,5,4.5-5,4.75,,,,
Latvia,2,3-3.5,3.25,,,,
Latvia,3,3.5-4,3.75,,,,
Latvia,4,4-4.5,4.25,,,,
Latvia,5,4.5-5,4.75,,,,
Lebanon,5,4.5-5,4.75,,,,
Lebanon,6,5-6.25,5.625,,,,
Lebanon,7,6.25-7.25,6.75,,,,
Lebanon,8,7.25-7.5,7.375,,,,
Lesotho,6,5-6.25,5.625,,,,
Lesotho,7,6.25-7.25,6.75,,,,
Liberia,1,<=3,2,,,,
Libya,10,>7.75,9,,,,
Libya,3,3.5-4,3.75,,,,
Libya,4,4-4.5,4.25,,,,
Libya,5,4.5-5,4.75,,,,
Libya,6,5-6.25,5.625,,,,
Libya,7,6.25-7.25,6.75,,,,
Libya,8,7.25-7.5,7.375,,,,
Libya,9,7.5-7.75,7.625,,,,
Liechtenstein,5,4.5-5,4.75,,,,
Liechtenstein,6,5-6.25,5.625,,,,
Lithuania,2,3-3.5,3.25,,,,
Lithuania,3,3.5-4,3.75,,,,
Lithuania,4,4-4.5,4.25,,,,
Lithuania,5,4.5-5,4.75,,,,
Luxembourg,3,3.5-4,3.75,,,,
Luxembourg,4,4-4.5,4.25,,,,
Macedonia,6,5-6.25,5.625,,,,
Macedonia,7,6.25-7.25,6.75,,,,
Madagascar,1,<=3,2,,,,
Madagascar,2,3-3.5,3.25,,,,
Madagascar,3,3.5-4,3.75,,,,
Madagascar,4,4-4.5,4.25,,,,
Madagascar,5,4.5-5,4.75,,,,
Madagascar,6,5-6.25,5.625,,,,
Madagascar,7,6.25-7.25,6.75,,,,
Madagascar,8,7.25-7.5,7.375,,,,
Malawi,2,3-3.5,3.25,,,,
Malawi,3,3.5-4,3.75,,,,
Malawi,4,4-4.5,4.25,,,,
Malawi,5,4.5-5,4.75,,,,
Malawi,6,5-6.25,5.625,,,,
Malaysia,2,3-3.5,3.25,,,,
Malaysia,3,3.5-4,3.75,,,,
Malaysia,4,4-4.5,4.25,,,,
Malaysia,5,4.5-5,4.75,,,,
Malaysia,6,5-6.25,5.625,,,,
Maldives,6,5-6.25,5.625,,,,
Mali,2,3-3.5,3.25,,,,
Mali,3,3.5-4,3.75,,,,
Mali,4,4-4.5,4.25,,,,
Mali,5,4.5-5,4.75,,,,
Mali,6,5-6.25,5.625,,,,
Malta,3,3.5-4,3.75,,,,
Malta,4,4-4.5,4.25,,,,
Malta,8,7.25-7.5,7.375,,,,
Marshall Is.,6,5-6.25,5.625,,,,
Martinique,4,4-4.5,4.25,,,,
Mauritania,2,3-3.5,3.25,,,,
Mauritania,3,3.5-4,3.75,,,,
Mauritania,4,4-4.5,4.25,,,,
Mauritania,5,4.5-5,4.75,,,,
Mauritania,6,5-6.25,5.625,,,,
Mauritius,3,3.5-4,3.75,,,,
Mauritius,5,4.5-5,4.75,,,,
Mauritius,6,5-6.25,5.625,,,,
Mayotte,3,3.5-4,3.75,,,,
Mayotte,5,4.5-5,4.75,,,,
Mexico,10,>7.75,9,,,,
Mexico,2,3-3.5,3.25,,,,
Mexico,3,3.5-4,3.75,,,,
Mexico,4,4-4.5,4.25,,,,
Mexico,5,4.5-5,4.75,,,,
Mexico,6,5-6.25,5.625,,,,
Mexico,7,6.25-7.25,6.75,,,,
Mexico,8,7.25-7.5,7.375,,,,
Mexico,9,7.5-7.75,7.625,,,,
Micronesia,6,5-6.25,5.625,,,,
Midway Is.,6,5-6.25,5.625,,,,
Moldova,6,5-6.25,5.625,,,,
Monaco,6,5-6.25,5.625,,,,
Monaco,7,6.25-7.25,6.75,,,,
Mongolia,1,<=3,2,,,,
Mongolia,2,3-3.5,3.25,,,,
Mongolia,3,3.5-4,3.75,,,,
Mongolia,4,4-4.5,4.25,,,,
